date,ticker,sector,headline_count,word_count,finance_term_count,sentiment_model,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score
2020-12-08,INTC,Tech,2,20,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,KO,Consumer,2,20,0,finance_lexicon_baseline,0.0,0.95,0.05,1.0
2020-12-08,MMM,Industrials,1,11,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,MRK,Healthcare,3,24,3,finance_lexicon_baseline,0.0,0.875,0.125,1.0
2020-12-08,MS,Financials,2,18,0,finance_lexicon_baseline,0.0,0.9444444444444444,0.05555555555555555,1.0
2020-12-08,NEE,Utilities,1,11,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,NEM,Materials,3,23,1,finance_lexicon_baseline,0.0,0.8695652173913043,0.13043478260869565,1.0
2020-12-08,NKE,Consumer,1,14,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,OXY,Energy,2,9,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,QCOM,Tech,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,SBUX,Consumer,2,16,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,T,Comm,11,96,1,finance_lexicon_baseline,0.0,0.96875,0.03125,1.0
2020-12-08,TMUS,Comm,1,11,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,UPS,Industrials,3,27,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,USB,Financials,1,8,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,V,Financials,6,54,0,finance_lexicon_baseline,0.0,0.9444444444444444,0.05555555555555555,1.0
2020-12-08,WFC,Financials,3,37,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,WMT,Consumer,9,89,0,finance_lexicon_baseline,0.011235955056179775,0.9775280898876404,0.011235955056179775,0.0
2020-12-08,XOM,Energy,4,43,1,finance_lexicon_baseline,0.0,0.9534883720930233,0.046511627906976744,1.0
2020-12-09,ABT,Healthcare,1,6,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
